dataset,sweep,panel,level,n_H_level,method,excess,se,tau,tau_se,n_H,n_L,n
arena_33k,llm_budget,all,1000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,1000.0,50
arena_33k,llm_budget,all,2000.0,300,consensus_cal,0.050574753192766636,0.005775101889562277,0.779578947368421,0.011258770238663481,300.0,2000.0,50
arena_33k,llm_budget,all,2000.0,300,dial_mu,0.018903869810257695,0.001712016922702683,0.8157894736842105,0.00744171009423075,300.0,2000.0,50
arena_33k,llm_budget,all,2000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,2000.0,50
arena_33k,llm_budget,all,5000.0,300,consensus_cal,0.03300630068775506,0.005188197968561917,0.8360000000000001,0.007373574996642001,300.0,5000.0,50
arena_33k,llm_budget,all,5000.0,300,dial_mu,0.014069749334490782,0.0009079871875310331,0.8416842105263158,0.006818251403958834,300.0,5000.0,50
arena_33k,llm_budget,all,5000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,5000.0,50
arena_33k,llm_budget,all,20000.0,300,consensus_cal,0.010796776104835143,0.0005147760171318372,0.8610526315789474,0.004840143440430401,300.0,20000.0,50
arena_33k,llm_budget,all,20000.0,300,dial_mu,0.01199632159526013,0.00080882518454478,0.8591578947368421,0.00564172369936356,300.0,20000.0,50
arena_33k,llm_budget,all,20000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,20000.0,50
arena_33k,llm_budget,large6,500.0,300,consensus_cal,0.07295782800204952,0.0038967588967020557,0.6431578947368422,0.014875061490634623,300.0,500.0,50
arena_33k,llm_budget,large6,500.0,300,dial_mu,0.030525236742706113,0.0022755240441112634,0.768842105263158,0.007743762295282485,300.0,500.0,50
arena_33k,llm_budget,large6,500.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,500.0,50
arena_33k,llm_budget,large6,1000.0,300,consensus_cal,0.054455863201143366,0.0065046971930398,0.7484210526315789,0.011547658144209317,300.0,1000.0,50
arena_33k,llm_budget,large6,1000.0,300,dial_mu,0.026088099493933155,0.003718507986463336,0.7947368421052632,0.007907258240682651,300.0,1000.0,50
arena_33k,llm_budget,large6,1000.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,1000.0,50
